id,created_at_utc,tweet_text,tweet_url,geo_coordinates,fav_count_or_likes,retweet_count,author_location,author_geo_coordinates,author_followers_count,author_screen_name,author_fav_count,geo,retweeted,source url,source
1069306812145504258,2018-12-02 19:06:25,"Check out #Wegmans (Glenarden, MD) on @FoursquareGuide: https://t.co/uwPvpfr0Ip",www.twitter.com/FDAllenGroupInc/status/1069306812145504258,,0,0,"Flatiron, Manhattan NYC","{'lng': -73.9903489, 'lat': 40.740083}",6159,FDAllenGroupInc,56895,,False,http://twitter.com/download/android,Twitter for Android
1069268221717549058,2018-12-02 16:33:04,RT @msfc59: #Byers Choice Carolers #Wegmans Chef with Basket of Vegetables Menu Pasta https://t.co/LMDYpzCbpt ⁦@eBay⁩,www.twitter.com/ReneeANDSharon/status/1069268221717549058,,0,2,"Palm Harbor, FL.","{'lng': -82.7637127, 'lat': 28.0780718}",19142,ReneeANDSharon,10044,,False,https://mobile.twitter.com,Twitter Lite
1069266406791880706,2018-12-02 16:25:52,#Byers Choice Carolers #Wegmans Chef with Basket of Vegetables Menu Pasta https://t.co/LMDYpzCbpt ⁦@eBay⁩,www.twitter.com/msfc59/status/1069266406791880706,,1,2,"Williamsville, NY","{'lng': -78.73780909999999, 'lat': 42.963947}",2460,msfc59,17638,,False,http://twitter.com/download/iphone,Twitter for iPhone
1069260463685451777,2018-12-02 16:02:15,"I’m fascinated by grocery stores. Love #TraderJoes for spices, wine, and certain cuts of meat. #GiantFood for most of my baking needs. Excited to check out the remodeled #Safeway in my old neighborhood, and must make the journey to #Wegmans one day. What’s your favorite store?👩🏾‍🍳",www.twitter.com/jaithephotog/status/1069260463685451777,,2,0,"Washington, DC","{'lng': -77.0368707, 'lat': 38.9071923}",887,jaithephotog,2021,,False,http://twitter.com/download/iphone,Twitter for iPhone
1069259778189377537,2018-12-02 15:59:31,"RT @ae1279: Listen, if you miss your number at a crowded deli counter because you weren’t paying attention or walked away, you go to the en…",www.twitter.com/LookIntoMySole/status/1069259778189377537,,0,1,Lincoln Financial Field,"{'lng': -75.1674635, 'lat': 39.9007674}",1091,LookIntoMySole,28239,,False,http://twitter.com/download/android,Twitter for Android
1069257988987412480,2018-12-02 15:52:25,"Listen, if you miss your number at a crowded deli counter because you weren’t paying attention or walked away, you go to the end of the line. Sorry, take a new number. Or just stay and wait your turn and pay attention like the rest of us. #wegmans",www.twitter.com/ae1279/status/1069257988987412480,,2,1,,,190,ae1279,6987,,False,http://twitter.com/download/iphone,Twitter for iPhone
1069170330101526529,2018-12-02 10:04:05,Amy’s with the new products. 🙌🏼 ravioli. found at #Wegmans #ravioli #veganfoodshare #vegan #food #yummy https://t.co/Gifdc04Yfc,www.twitter.com/scott_brown_ca/status/1069170330101526529,,0,0,"Carmel, CA","{'lng': -121.9232879, 'lat': 36.5552386}",1342,scott_brown_ca,1246,,False,http://www.twitter.com,scott_brown_ca_tweet
1069025636126216192,2018-12-02 00:29:07,Holiday....Magical Brie &amp; Rose #vanderpumprose #holiday #family #wineandcheese #wegmans https://t.co/tGrHG4Ciuq,www.twitter.com/VivaLDiva/status/1069025636126216192,,0,0,Outside of Boston,"{'lng': -71.05584999999999, 'lat': 42.3535879}",240,VivaLDiva,824,,False,http://instagram.com,Instagram
1068992613829787648,2018-12-01 22:17:54,"Have you seen us a wegmans Alberta Drive location? #Buffalo stay tuned for dates when our #TeenCEO will be in store doing demos and product talks. 

#zandra
#wegmans #shoppinginbuffalo @… https://t.co/EueLoNS6xZ",www.twitter.com/ZandraBeauty/status/1068992613829787648,"{'coordinates': [-78.8159537, 42.98948883], 'type': 'Point'}",2,1,"Buffalo, NY ","{'lng': -78.8783689, 'lat': 42.88644679999999}",1781,ZandraBeauty,1494,"{'coordinates': [42.98948883, -78.8159537], 'type': 'Point'}",False,http://instagram.com,Instagram
1068930857690386433,2018-12-01 18:12:30,"RT @CynthiaBenjamn: Had no idea this place existed, nor its connection to @Wegmans fresh veggies. How Interesting! 🥦🍅🥒 #ROC #History https:…",www.twitter.com/TomSudore/status/1068930857690386433,,0,3,"Rochester, NY","{'lng': -77.6088465, 'lat': 43.15657789999999}",1007,TomSudore,6,,False,http://twitter.com,Twitter Web Client
1068930395327119361,2018-12-01 18:10:40,"Had no idea this place existed, nor its connection to @Wegmans fresh veggies. How Interesting! 🥦🍅🥒 #ROC #History https://t.co/MC9brNHJAO via @DandC #Wegmans",www.twitter.com/CynthiaBenjamn/status/1068930395327119361,,0,3,"Rochester, NY","{'lng': -77.6088465, 'lat': 43.15657789999999}",13608,CynthiaBenjamn,7262,,False,http://twitter.com/download/iphone,Twitter for iPhone
1068909700182364160,2018-12-01 16:48:26,#CityRidgeDC breaks ground at former #FannieMae site w #Wegmans as anchor https://t.co/OZFEeTu2sS,www.twitter.com/econdevPRpro/status/1068909700182364160,,0,0,"Washington, DC","{'lng': -77.0368707, 'lat': 38.9071923}",860,econdevPRpro,1215,,False,http://twitter.com/download/iphone,Twitter for iPhone
1068892193950183424,2018-12-01 15:38:52,Check out byers choice carolers #Wegmans Cake And Wine With Bag  https://t.co/gAIJfsU09z via @eBay,www.twitter.com/msfc59/status/1068892193950183424,,1,1,"Williamsville, NY","{'lng': -78.73780909999999, 'lat': 42.963947}",2460,msfc59,17638,,False,http://twitter.com,Twitter Web Client
1068834492570394625,2018-12-01 11:49:35,"This crew won first place at the @RockwellMuseum ‘s Gingerbread Invitational with their vision of a futuristic, “green” #wegmans but ... it’s not over yet! Visit the museum throughout Dec and vote for your favorite! https://t.co/zSPgjebRjN",www.twitter.com/DustyHewit/status/1068834492570394625,,5,0,"Corning, NY","{'lng': -77.05469029999999, 'lat': 42.1428521}",117,DustyHewit,594,,False,http://twitter.com/download/iphone,Twitter for iPhone
1068628101352046592,2018-11-30 22:09:28,#GroceryStores want you to have a #beer and stay a while https://t.co/Z2BDRgX5pm via @voxdotcom #Kroger #WholeFoods #Wegmans #GroceryStore #Bars #News,www.twitter.com/DiabeticCyborgg/status/1068628101352046592,,0,0,"Longview, TX","{'lng': -94.74048909999999, 'lat': 32.5007037}",5878,DiabeticCyborgg,25943,,False,http://twitter.com,Twitter Web Client
1068581141354037248,2018-11-30 19:02:52,"You can't go home again, but you can go to #wegmans",www.twitter.com/StrangeBirb/status/1068581141354037248,,1,0,,,16,StrangeBirb,139,,False,https://mobile.twitter.com,Twitter Lite
1068556942388342785,2018-11-30 17:26:42,I love you James and I’m starting to realize that I love edamame so I making a piece of toast and I’m going to spread a little James on it for my lunch #Edamame #James #QuickLunch #wegmans… https://t.co/izzspMMhJl,www.twitter.com/LilleV1985/status/1068556942388342785,,0,0,St Somewhere USVI,"{'lng': -64.86798619999999, 'lat': 18.346208}",298,LilleV1985,50,,False,http://instagram.com,Instagram
